Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2089ms | tok/sec: 15,683 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083151 | lrm: 1.00 | dt: 889ms | tok/sec: 36,840 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.998123 | lrm: 1.00 | dt: 960ms | tok/sec: 34,138 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.724496 | lrm: 1.00 | dt: 882ms | tok/sec: 37,144 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.448939 | lrm: 1.00 | dt: 931ms | tok/sec: 35,183 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.236432 | lrm: 1.00 | dt: 891ms | tok/sec: 36,776 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.048789 | lrm: 1.00 | dt: 874ms | tok/sec: 37,475 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.881263 | lrm: 1.00 | dt: 874ms | tok/sec: 37,486 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.722492 | lrm: 1.00 | dt: 871ms | tok/sec: 37,624 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.588310 | lrm: 1.00 | dt: 884ms | tok/sec: 37,081 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.470733 | lrm: 1.00 | dt: 876ms | tok/sec: 37,397 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.339742 | lrm: 1.00 | dt: 875ms | tok/sec: 37,432 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.228259 | lrm: 1.00 | dt: 890ms | tok/sec: 36,816 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.118998 | lrm: 1.00 | dt: 875ms | tok/sec: 37,430 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 7.012874 | lrm: 1.00 | dt: 877ms | tok/sec: 37,378 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.920663 | lrm: 1.00 | dt: 864ms | tok/sec: 37,905 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.831353 | lrm: 1.00 | dt: 961ms | tok/sec: 34,087 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.8%) | loss: 6.752710 | lrm: 1.00 | dt: 874ms | tok/sec: 37,480 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.1%) | loss: 6.687301 | lrm: 1.00 | dt: 958ms | tok/sec: 34,191 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.4%) | loss: 6.613379 | lrm: 1.00 | dt: 874ms | tok/sec: 37,509 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.7%) | loss: 6.558642 | lrm: 1.00 | dt: 876ms | tok/sec: 37,388 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (3.0%) | loss: 6.490462 | lrm: 1.00 | dt: 866ms | tok/sec: 37,840 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.3%) | loss: 6.442473 | lrm: 1.00 | dt: 869ms | tok/sec: 37,696 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00023 (3.6%) | loss: 6.389010 | lrm: 1.00 | dt: 871ms | tok/sec: 37,602 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00024 (3.8%) | loss: 6.341506 | lrm: 1.00 | dt: 874ms | tok/sec: 37,511 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00025 (4.1%) | loss: 6.296039 | lrm: 1.00 | dt: 873ms | tok/sec: 37,514 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00026 (4.4%) | loss: 6.247910 | lrm: 1.00 | dt: 871ms | tok/sec: 37,631 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00027 (4.7%) | loss: 6.218413 | lrm: 1.00 | dt: 878ms | tok/sec: 37,331 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00028 (5.0%) | loss: 6.174918 | lrm: 1.00 | dt: 903ms | tok/sec: 36,277 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00029 (5.3%) | loss: 6.140610 | lrm: 1.00 | dt: 872ms | tok/sec: 37,586 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00030 (5.6%) | loss: 6.112085 | lrm: 1.00 | dt: 874ms | tok/sec: 37,481 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00031 (5.9%) | loss: 6.079168 | lrm: 1.00 | dt: 875ms | tok/sec: 37,441 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00032 (6.2%) | loss: 6.047950 | lrm: 1.00 | dt: 874ms | tok/sec: 37,498 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00033 (6.5%) | loss: 6.019963 | lrm: 1.00 | dt: 873ms | tok/sec: 37,536 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00034 (6.8%) | loss: 5.993209 | lrm: 1.00 | dt: 873ms | tok/sec: 37,523 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00035 (7.1%) | loss: 5.969443 | lrm: 1.00 | dt: 954ms | tok/sec: 34,349 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00036 (7.4%) | loss: 5.940965 | lrm: 1.00 | dt: 879ms | tok/sec: 37,268 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00037 (7.7%) | loss: 5.926811 | lrm: 1.00 | dt: 875ms | tok/sec: 37,438 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00038 (8.0%) | loss: 5.904069 | lrm: 1.00 | dt: 878ms | tok/sec: 37,306 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00039 (8.3%) | loss: 5.879618 | lrm: 1.00 | dt: 875ms | tok/sec: 37,446 | mfu: 0.2% | epoch: 1 | remaining: 274s    
