Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 1996ms | tok/sec: 16,414 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.078779 | lrm: 1.00 | dt: 905ms | tok/sec: 36,194 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.003221 | lrm: 1.00 | dt: 856ms | tok/sec: 38,287 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.743118 | lrm: 1.00 | dt: 973ms | tok/sec: 33,668 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.470333 | lrm: 1.00 | dt: 863ms | tok/sec: 37,964 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.258407 | lrm: 1.00 | dt: 863ms | tok/sec: 37,972 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.075190 | lrm: 1.00 | dt: 858ms | tok/sec: 38,193 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.916582 | lrm: 1.00 | dt: 854ms | tok/sec: 38,356 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.774591 | lrm: 1.00 | dt: 941ms | tok/sec: 34,824 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.638002 | lrm: 1.00 | dt: 860ms | tok/sec: 38,091 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.513514 | lrm: 1.00 | dt: 857ms | tok/sec: 38,218 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.383011 | lrm: 1.00 | dt: 859ms | tok/sec: 38,124 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.268625 | lrm: 1.00 | dt: 860ms | tok/sec: 38,123 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.158016 | lrm: 1.00 | dt: 858ms | tok/sec: 38,170 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 7.050827 | lrm: 1.00 | dt: 863ms | tok/sec: 37,956 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.958936 | lrm: 1.00 | dt: 857ms | tok/sec: 38,240 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 6.870147 | lrm: 1.00 | dt: 858ms | tok/sec: 38,200 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.791273 | lrm: 1.00 | dt: 881ms | tok/sec: 37,202 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.723922 | lrm: 1.00 | dt: 862ms | tok/sec: 38,019 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.648687 | lrm: 1.00 | dt: 859ms | tok/sec: 38,146 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.6%) | loss: 6.593186 | lrm: 1.00 | dt: 874ms | tok/sec: 37,499 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (2.9%) | loss: 6.524701 | lrm: 1.00 | dt: 948ms | tok/sec: 34,560 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.2%) | loss: 6.475765 | lrm: 1.00 | dt: 860ms | tok/sec: 38,113 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00023 (3.5%) | loss: 6.421505 | lrm: 1.00 | dt: 861ms | tok/sec: 38,045 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00024 (3.8%) | loss: 6.372682 | lrm: 1.00 | dt: 862ms | tok/sec: 38,028 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00025 (4.1%) | loss: 6.326417 | lrm: 1.00 | dt: 859ms | tok/sec: 38,136 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00026 (4.3%) | loss: 6.277411 | lrm: 1.00 | dt: 860ms | tok/sec: 38,118 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00027 (4.6%) | loss: 6.247634 | lrm: 1.00 | dt: 860ms | tok/sec: 38,100 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00028 (4.9%) | loss: 6.202947 | lrm: 1.00 | dt: 857ms | tok/sec: 38,239 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00029 (5.2%) | loss: 6.167192 | lrm: 1.00 | dt: 862ms | tok/sec: 38,004 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00030 (5.5%) | loss: 6.137713 | lrm: 1.00 | dt: 852ms | tok/sec: 38,439 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00031 (5.8%) | loss: 6.104290 | lrm: 1.00 | dt: 920ms | tok/sec: 35,599 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00032 (6.1%) | loss: 6.072291 | lrm: 1.00 | dt: 867ms | tok/sec: 37,813 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00033 (6.4%) | loss: 6.044153 | lrm: 1.00 | dt: 873ms | tok/sec: 37,523 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00034 (6.7%) | loss: 6.016360 | lrm: 1.00 | dt: 921ms | tok/sec: 35,587 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00035 (7.0%) | loss: 5.991479 | lrm: 1.00 | dt: 860ms | tok/sec: 38,105 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00036 (7.3%) | loss: 5.962070 | lrm: 1.00 | dt: 860ms | tok/sec: 38,082 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00037 (7.5%) | loss: 5.947021 | lrm: 1.00 | dt: 863ms | tok/sec: 37,970 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00038 (7.8%) | loss: 5.924037 | lrm: 1.00 | dt: 873ms | tok/sec: 37,538 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00039 (8.1%) | loss: 5.899161 | lrm: 1.00 | dt: 864ms | tok/sec: 37,921 | mfu: 0.2% | epoch: 1 | remaining: 275s    
