commit	val_bpb	memory_gb	status	description
1cdbc21	1.389503	0.0	keep	baseline
e9f7896	0.000000	0.0	crash	raise weight decay to 0.2195
3f47684	1.501397	0.0	discard	raise matrix lr to 0.047
21af6c2	1.384808	0.0	keep	raise unembedding lr to 0.005
76defde	1.382862	0.0	keep	raise unembedding lr to 0.00525
fb177dc	1.384670	0.0	discard	raise unembedding lr to 0.0055
3a0acbe	1.385292	0.0	discard	raise final lr floor to 0.075
88c8ecb	1.392274	0.0	discard	extend warmdown ratio to 0.55
c3527f9	0.000000	0.0	crash	raise embedding lr to 0.63
b92a0a3	1.395942	0.0	discard	lower weight decay to 0.19
b697e18	1.389153	0.0	keep	raise adam beta1 to 0.85
5ea108a	1.396688	0.0	discard	raise adam beta1 to 0.9
25c1306	1.396177	0.0	discard	raise adam beta2 to 0.97
