Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2573ms | tok/sec: 12,734 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.098965 | lrm: 1.00 | dt: 971ms | tok/sec: 33,730 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.013655 | lrm: 1.00 | dt: 889ms | tok/sec: 36,865 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.717498 | lrm: 1.00 | dt: 956ms | tok/sec: 34,277 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.436025 | lrm: 1.00 | dt: 878ms | tok/sec: 37,338 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.215804 | lrm: 1.00 | dt: 969ms | tok/sec: 33,799 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.029146 | lrm: 1.00 | dt: 884ms | tok/sec: 37,082 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.875558 | lrm: 1.00 | dt: 887ms | tok/sec: 36,960 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.717849 | lrm: 1.00 | dt: 889ms | tok/sec: 36,865 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.570853 | lrm: 1.00 | dt: 890ms | tok/sec: 36,817 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.430526 | lrm: 1.00 | dt: 881ms | tok/sec: 37,197 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.293344 | lrm: 1.00 | dt: 864ms | tok/sec: 37,944 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.175974 | lrm: 1.00 | dt: 854ms | tok/sec: 38,361 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 7.062504 | lrm: 1.00 | dt: 872ms | tok/sec: 37,596 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.956075 | lrm: 1.00 | dt: 891ms | tok/sec: 36,796 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00015 (1.2%) | loss: 6.864898 | lrm: 1.00 | dt: 880ms | tok/sec: 37,251 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.775478 | lrm: 1.00 | dt: 876ms | tok/sec: 37,394 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.696670 | lrm: 1.00 | dt: 886ms | tok/sec: 37,002 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.632561 | lrm: 1.00 | dt: 889ms | tok/sec: 36,875 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.558099 | lrm: 1.00 | dt: 878ms | tok/sec: 37,318 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00020 (2.6%) | loss: 6.504818 | lrm: 1.00 | dt: 891ms | tok/sec: 36,756 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00021 (2.9%) | loss: 6.436965 | lrm: 1.00 | dt: 882ms | tok/sec: 37,163 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00022 (3.2%) | loss: 6.391206 | lrm: 1.00 | dt: 873ms | tok/sec: 37,518 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00023 (3.5%) | loss: 6.338361 | lrm: 1.00 | dt: 881ms | tok/sec: 37,175 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00024 (3.8%) | loss: 6.290749 | lrm: 1.00 | dt: 880ms | tok/sec: 37,223 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00025 (4.1%) | loss: 6.245244 | lrm: 1.00 | dt: 926ms | tok/sec: 35,388 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00026 (4.4%) | loss: 6.199232 | lrm: 1.00 | dt: 883ms | tok/sec: 37,119 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00027 (4.7%) | loss: 6.171046 | lrm: 1.00 | dt: 889ms | tok/sec: 36,869 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00028 (5.0%) | loss: 6.128669 | lrm: 1.00 | dt: 981ms | tok/sec: 33,385 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00029 (5.3%) | loss: 6.096069 | lrm: 1.00 | dt: 883ms | tok/sec: 37,118 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00030 (5.6%) | loss: 6.069258 | lrm: 1.00 | dt: 890ms | tok/sec: 36,824 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00031 (5.9%) | loss: 6.038521 | lrm: 1.00 | dt: 888ms | tok/sec: 36,917 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00032 (6.2%) | loss: 6.008448 | lrm: 1.00 | dt: 887ms | tok/sec: 36,954 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00033 (6.5%) | loss: 5.983095 | lrm: 1.00 | dt: 892ms | tok/sec: 36,742 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00034 (6.8%) | loss: 5.958729 | lrm: 1.00 | dt: 944ms | tok/sec: 34,711 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00035 (7.1%) | loss: 5.936036 | lrm: 1.00 | dt: 912ms | tok/sec: 35,919 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00036 (7.4%) | loss: 5.908827 | lrm: 1.00 | dt: 873ms | tok/sec: 37,514 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00037 (7.7%) | loss: 5.895869 | lrm: 1.00 | dt: 886ms | tok/sec: 36,979 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00038 (8.0%) | loss: 5.874113 | lrm: 1.00 | dt: 897ms | tok/sec: 36,538 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00039 (8.3%) | loss: 5.850354 | lrm: 1.00 | dt: 900ms | tok/sec: 36,408 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00040 (8.6%) | loss: 5.832099 | lrm: 1.00 | dt: 941ms | tok/sec: 34,804 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00041 (8.9%) | loss: 5.810755 | lrm: 1.00 | dt: 900ms | tok/sec: 36,419 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00042 (9.2%) | loss: 5.794036 | lrm: 1.00 | dt: 890ms | tok/sec: 36,823 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00043 (9.5%) | loss: 5.770215 | lrm: 1.00 | dt: 980ms | tok/sec: 33,435 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00044 (9.8%) | loss: 5.745838 | lrm: 1.00 | dt: 880ms | tok/sec: 37,252 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00045 (10.1%) | loss: 5.728413 | lrm: 1.00 | dt: 891ms | tok/sec: 36,763 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00046 (10.4%) | loss: 5.700335 | lrm: 1.00 | dt: 894ms | tok/sec: 36,672 | mfu: 0.2% | epoch: 1 | remaining: 268s    
step 00047 (10.7%) | loss: 5.683162 | lrm: 1.00 | dt: 989ms | tok/sec: 33,140 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00048 (11.1%) | loss: 5.665209 | lrm: 1.00 | dt: 1032ms | tok/sec: 31,766 | mfu: 0.2% | epoch: 1 | remaining: 266s    
step 00049 (11.4%) | loss: 5.654441 | lrm: 1.00 | dt: 912ms | tok/sec: 35,919 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00050 (11.7%) | loss: 5.633896 | lrm: 1.00 | dt: 954ms | tok/sec: 34,365 | mfu: 0.2% | epoch: 1 | remaining: 264s    
step 00051 (12.0%) | loss: 5.624068 | lrm: 1.00 | dt: 1098ms | tok/sec: 29,851 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00052 (12.4%) | loss: 5.612761 | lrm: 1.00 | dt: 1029ms | tok/sec: 31,856 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00053 (12.7%) | loss: 5.594745 | lrm: 1.00 | dt: 931ms | tok/sec: 35,192 | mfu: 0.2% | epoch: 1 | remaining: 261s    
step 00054 (13.0%) | loss: 5.576883 | lrm: 1.00 | dt: 970ms | tok/sec: 33,772 | mfu: 0.2% | epoch: 1 | remaining: 260s    
step 00055 (13.4%) | loss: 5.563311 | lrm: 1.00 | dt: 987ms | tok/sec: 33,190 | mfu: 0.2% | epoch: 1 | remaining: 259s    
step 00056 (13.7%) | loss: 5.545770 | lrm: 1.00 | dt: 935ms | tok/sec: 35,031 | mfu: 0.2% | epoch: 1 | remaining: 258s    
step 00057 (14.0%) | loss: 5.524900 | lrm: 1.00 | dt: 1017ms | tok/sec: 32,213 | mfu: 0.2% | epoch: 1 | remaining: 257s    
step 00058 (14.4%) | loss: 5.521073 | lrm: 1.00 | dt: 933ms | tok/sec: 35,105 | mfu: 0.2% | epoch: 1 | remaining: 256s    
step 00059 (14.7%) | loss: 5.494390 | lrm: 1.00 | dt: 1007ms | tok/sec: 32,532 | mfu: 0.2% | epoch: 1 | remaining: 255s    
step 00060 (15.0%) | loss: 5.483844 | lrm: 1.00 | dt: 940ms | tok/sec: 34,868 | mfu: 0.2% | epoch: 1 | remaining: 254s    
step 00061 (15.3%) | loss: 5.474024 | lrm: 1.00 | dt: 989ms | tok/sec: 33,141 | mfu: 0.2% | epoch: 1 | remaining: 253s    
step 00062 (15.6%) | loss: 5.461292 | lrm: 1.00 | dt: 1025ms | tok/sec: 31,967 | mfu: 0.2% | epoch: 1 | remaining: 252s    
step 00063 (16.0%) | loss: 5.451497 | lrm: 1.00 | dt: 1054ms | tok/sec: 31,075 | mfu: 0.2% | epoch: 1 | remaining: 251s    
step 00064 (16.3%) | loss: 5.435953 | lrm: 1.00 | dt: 1087ms | tok/sec: 30,138 | mfu: 0.2% | epoch: 1 | remaining: 250s    
